Air Quality,Water Quality,Earthquake Risk,Forest Fire Risk,Flooding Risk,Pollution Risk,Insurance Cost,Company
56,20,22,27,46,37,3430,The Co-operators
29,33,0,98,23,91,3410,Belairdirect
8,61,6,75,63,47,3463,The Co-operators
49,54,98,92,80,98,2018,Johnson Insurance
82,57,20,54,89,29,2848,Johnson Insurance
95,10,39,58,48,54,2752,Johnson Insurance
74,39,32,4,61,66,1822,Belairdirect
33,33,48,52,57,51,2660,Belairdirect
32,21,3,22,41,11,3464,Belairdirect
97,34,21,33,94,85,2838,Intact Insurance
81,8,91,8,94,19,3374,The Co-operators
24,78,33,18,22,62,3359,Allstate
47,43,69,67,28,99,2795,The Co-operators
4,86,85,45,24,88,1151,Allstate
85,92,48,60,96,67,3007,The Co-operators
87,24,13,13,37,25,1291,Allstate
17,34,96,21,71,94,3093,Intact Insurance
41,30,11,69,74,93,3467,Johnson Insurance
10,13,19,45,68,73,1507,Economical Insurance
29,49,84,63,82,91,1523,The Personal
58,70,56,84,18,76,2532,Economical Insurance
86,38,48,33,90,32,1210,Belairdirect
21,53,30,37,12,15,1129,The Personal
59,57,39,74,33,43,2942,The Co-operators
13,73,58,96,37,72,2048,Economical Insurance
89,12,4,30,15,71,2936,Intact Insurance
24,94,62,87,10,33,2506,Economical Insurance
83,88,98,56,63,88,2704,Allstate
54,54,7,98,99,52,2113,Intact Insurance
87,100,98,78,72,87,2822,Johnson Insurance
75,86,8,98,37,84,2998,Johnson Insurance
64,90,63,3,77,50,1441,The Co-operators
28,100,44,28,53,41,2451,Economical Insurance
80,82,83,35,7,22,1235,Intact Insurance
92,7,87,75,97,48,2087,Belairdirect
23,94,48,90,89,79,1761,Johnson Insurance
90,93,63,73,78,65,3200,Economical Insurance
32,75,77,74,41,51,3600,Economical Insurance
98,21,7,32,75,95,2941,Intact Insurance
16,31,64,56,97,85,3044,Economical Insurance
70,96,14,81,68,93,3599,Allstate
51,92,32,63,87,12,2309,Belairdirect
96,31,59,38,38,75,1901,Economical Insurance
86,4,1,60,30,47,1307,Johnson Insurance
36,27,75,73,68,32,2475,Johnson Insurance
30,65,84,33,93,58,3028,The Personal
94,95,10,22,58,52,2578,Economical Insurance
20,78,72,95,81,3,1818,The Personal
0,32,54,60,93,43,1696,Economical Insurance
72,68,76,68,95,2,2059,The Personal
6,23,69,59,20,50,2857,Economical Insurance
72,92,25,52,88,76,1809,Allstate
15,36,43,47,61,70,1117,Economical Insurance
44,65,18,37,76,23,1760,Belairdirect
94,60,37,87,43,10,1235,Allstate
66,99,23,87,58,15,1953,Intact Insurance
94,34,82,55,78,13,2094,Belairdirect
43,3,66,57,17,3,1611,Allstate
72,7,86,95,28,95,2336,The Co-operators
64,17,74,31,64,82,3415,The Co-operators
80,50,27,62,47,26,2363,Economical Insurance
42,57,27,59,40,93,2308,Allstate
82,3,46,51,51,2,1832,Johnson Insurance
38,15,79,42,88,21,2340,The Co-operators
87,69,31,4,90,97,2498,Economical Insurance
29,46,5,74,96,49,3245,Johnson Insurance
20,80,83,81,98,71,1451,Belairdirect
70,46,11,70,39,24,1436,Johnson Insurance
81,3,29,61,4,83,1150,Economical Insurance
48,51,10,42,42,25,1152,Economical Insurance
9,44,64,26,81,49,2656,Johnson Insurance
99,20,72,16,50,71,2135,Economical Insurance
60,80,15,28,14,12,1238,Allstate
48,6,4,63,69,59,2606,The Co-operators
53,57,40,25,94,23,2969,Johnson Insurance
78,89,51,84,61,11,1174,The Co-operators
60,29,44,47,18,58,2825,Economical Insurance
51,94,57,50,12,52,1487,The Co-operators
84,70,68,47,60,21,1442,The Co-operators
73,22,72,82,94,0,2543,Johnson Insurance
69,47,81,60,98,67,2142,The Personal
65,60,100,6,18,32,2328,Belairdirect
95,81,86,61,35,61,2413,Economical Insurance
41,5,40,41,75,46,2651,The Co-operators
98,15,86,47,16,46,1859,The Co-operators
63,75,67,83,13,27,3427,Intact Insurance
58,24,98,18,30,67,2752,Belairdirect
93,65,18,31,24,93,1237,Johnson Insurance
1,47,73,42,71,24,2215,The Personal
62,14,28,18,65,81,1313,The Personal
17,3,75,79,80,14,2954,Allstate
61,29,78,67,39,38,1530,The Co-operators
62,16,65,18,66,61,1005,Johnson Insurance
73,40,5,86,27,59,3141,Johnson Insurance
83,65,68,17,21,64,1805,Belairdirect
6,17,90,48,1,44,3162,Belairdirect
38,84,76,11,47,97,2587,Intact Insurance
85,89,61,47,63,68,2327,Intact Insurance
73,36,25,44,19,30,1227,The Co-operators
11,12,40,19,94,73,3432,The Co-operators
45,82,76,80,59,31,1486,Economical Insurance
85,0,15,13,47,34,1293,The Co-operators
66,6,68,96,8,80,2351,Johnson Insurance
31,0,85,33,82,55,2197,The Co-operators
79,30,75,19,75,64,1717,The Co-operators
95,43,0,97,27,39,1631,Economical Insurance
13,64,49,82,56,100,3521,The Co-operators
45,54,57,68,41,6,2121,The Personal
46,74,74,38,69,68,3429,Belairdirect
81,28,45,43,21,62,1116,Economical Insurance
93,90,51,63,44,14,2114,The Personal
11,7,91,53,39,30,2079,Economical Insurance
49,12,2,5,40,60,1618,Johnson Insurance
43,2,82,30,58,29,3303,The Personal
62,49,7,76,21,65,2840,Johnson Insurance
4,61,98,68,46,76,1126,Allstate
83,33,15,16,18,48,1251,Economical Insurance
89,64,8,82,69,15,2190,Intact Insurance
23,36,34,11,26,35,2400,The Personal
41,50,47,30,36,94,2690,Johnson Insurance
54,14,90,88,88,76,1136,Intact Insurance
46,37,97,31,76,44,2961,The Personal
90,2,36,12,49,12,1883,Economical Insurance
98,48,84,58,14,17,3425,Economical Insurance
61,95,54,35,63,44,3298,Economical Insurance
69,82,16,40,80,38,3509,Allstate
82,79,16,30,22,100,3366,Economical Insurance
82,51,94,56,67,75,3499,Economical Insurance
85,92,81,84,89,37,1407,Economical Insurance
75,19,33,18,42,39,1390,Intact Insurance
31,94,65,13,21,22,2590,Allstate
32,32,33,63,56,0,3390,Allstate
56,69,14,42,86,13,2410,Belairdirect
11,27,53,41,83,15,1505,Intact Insurance
18,62,73,85,39,30,1488,The Personal
18,98,91,13,52,57,2888,Allstate
88,5,39,37,22,10,2128,Johnson Insurance
0,93,100,87,9,89,3036,Belairdirect
62,70,78,63,34,36,1206,The Co-operators
37,54,39,0,3,88,1715,Belairdirect
56,28,14,77,46,3,2571,Belairdirect
33,64,43,13,80,68,3515,The Co-operators
85,76,80,14,97,59,2551,The Co-operators
69,42,80,69,64,84,3422,The Personal
97,50,13,48,58,5,2462,Johnson Insurance
98,5,52,80,91,48,1837,Intact Insurance
32,24,83,36,13,9,1482,Economical Insurance
85,85,83,14,44,23,1578,Belairdirect
18,37,7,33,57,30,1942,Allstate
31,52,65,15,52,42,3209,Belairdirect
56,39,62,74,92,57,1790,Johnson Insurance
56,76,92,2,75,12,2888,The Co-operators
46,36,99,93,60,86,2169,Johnson Insurance
79,100,97,9,39,31,3372,Belairdirect
47,47,55,20,56,76,3256,Economical Insurance
96,61,8,11,95,39,3530,Allstate
41,17,13,90,31,11,1740,Economical Insurance
4,74,37,39,58,73,1920,Belairdirect
1,26,55,88,83,8,3011,Belairdirect
28,92,9,12,61,97,2196,The Personal
85,5,0,88,58,87,1856,Economical Insurance
93,54,59,76,31,92,3343,Allstate
79,97,15,2,74,3,3204,The Personal
33,4,51,63,1,60,3301,Economical Insurance
26,29,36,69,86,1,3286,Belairdirect
54,13,16,0,20,94,1881,Intact Insurance
78,48,32,77,34,29,2542,The Co-operators
52,94,96,20,61,41,1560,Johnson Insurance
12,45,98,7,22,65,1234,Johnson Insurance
62,98,41,57,95,9,2069,Allstate
59,22,27,22,0,89,1731,The Personal
74,3,76,61,23,86,1869,Economical Insurance
69,9,56,1,33,30,2880,Economical Insurance
28,92,88,21,27,36,2936,The Co-operators
67,71,76,61,2,33,1353,Belairdirect
83,2,35,48,70,42,3381,Intact Insurance
78,80,7,81,57,14,2759,Belairdirect
73,62,82,88,61,39,2589,Economical Insurance
6,94,18,75,20,43,2073,Johnson Insurance
52,32,38,81,96,34,1524,Johnson Insurance
35,87,1,9,90,48,2706,The Personal
47,31,97,1,60,57,3210,Economical Insurance
66,54,6,64,76,43,1906,Intact Insurance
88,44,71,55,2,99,3565,The Personal
6,13,31,55,87,72,1006,Allstate
41,14,68,94,5,63,1428,Economical Insurance
31,11,34,16,47,26,2071,Johnson Insurance
41,36,73,0,72,66,2543,Belairdirect
84,15,70,38,67,14,1705,The Co-operators
41,73,23,19,83,73,2792,The Co-operators
93,87,41,70,72,23,3323,The Co-operators
52,8,15,96,59,94,2854,The Co-operators
60,19,73,62,50,86,1867,Allstate
83,89,28,17,55,1,3296,Belairdirect
47,73,3,50,10,13,3094,Belairdirect
30,95,15,59,47,86,3183,Johnson Insurance
68,12,73,88,37,73,3207,Johnson Insurance
5,43,81,46,100,90,1649,Belairdirect
36,76,84,58,41,55,2303,Belairdirect
40,94,20,38,56,11,2637,The Personal
0,75,46,66,96,49,3307,Allstate
62,24,71,90,92,88,2357,The Personal
55,42,45,61,14,45,2448,Johnson Insurance
49,31,54,47,92,64,2089,The Personal
7,55,25,90,69,36,2323,Johnson Insurance
11,11,20,17,14,2,1656,The Co-operators
67,53,57,14,82,20,2078,Economical Insurance
52,55,78,55,9,60,2649,Economical Insurance
25,30,71,97,45,82,2382,Economical Insurance
9,18,100,66,43,24,2692,Intact Insurance
13,77,72,47,87,19,1421,Intact Insurance
93,89,13,40,30,73,1281,Belairdirect
65,10,72,85,9,79,1184,Allstate
83,55,59,51,26,92,2790,Belairdirect
86,17,43,99,51,46,1893,Allstate
41,0,64,26,16,62,2677,Belairdirect
77,25,73,46,47,89,3427,Allstate
92,69,12,100,62,18,3478,The Personal
14,66,47,93,5,29,2809,Allstate
78,32,35,6,16,46,2151,Johnson Insurance
90,95,83,35,59,50,2422,Intact Insurance
31,24,48,84,1,87,2658,Economical Insurance
71,66,95,31,21,10,2787,The Personal
83,10,91,95,13,60,2150,Allstate
31,84,73,58,95,11,1763,Economical Insurance
59,25,24,66,93,72,2663,The Personal
50,99,69,90,46,75,1399,Johnson Insurance
44,93,66,32,7,99,3387,Johnson Insurance
54,26,91,32,36,86,2230,Economical Insurance
60,67,9,1,26,41,2999,Johnson Insurance
38,94,31,30,19,82,2681,Economical Insurance
5,78,94,56,63,70,1312,Johnson Insurance
31,23,14,26,38,17,2832,Economical Insurance
22,76,31,13,67,70,2135,The Personal
80,73,76,14,29,5,1576,Economical Insurance
74,48,5,38,47,65,2041,Intact Insurance
42,81,25,56,62,65,3107,Intact Insurance
71,71,45,19,75,1,2302,Economical Insurance
73,24,41,40,1,23,3483,Allstate
45,87,32,47,24,81,3337,Economical Insurance
96,66,84,75,79,56,3483,The Co-operators
62,83,14,93,91,10,1894,Intact Insurance
43,81,25,86,92,16,1997,The Co-operators
43,10,2,67,76,40,2448,Belairdirect
64,72,17,99,75,70,1770,Belairdirect
95,55,55,70,47,38,2578,Allstate
7,63,40,23,92,100,1521,Intact Insurance
100,89,17,61,8,68,2030,Johnson Insurance
68,64,10,90,39,30,3280,Economical Insurance
13,3,91,66,61,73,2074,Intact Insurance
74,9,1,14,95,28,1980,Johnson Insurance
57,0,25,38,80,25,2461,Johnson Insurance
13,87,2,42,41,64,2721,Johnson Insurance
99,93,57,19,62,46,3117,Johnson Insurance
22,37,70,32,38,50,3448,The Personal
60,69,66,93,57,7,2697,Johnson Insurance
97,33,41,14,9,8,3151,Economical Insurance
93,41,72,24,94,26,1449,Economical Insurance
13,63,31,57,97,96,1796,Economical Insurance
73,25,38,5,31,98,1620,Belairdirect
78,14,92,8,77,93,3467,The Co-operators
24,59,59,34,55,47,1021,Belairdirect
7,81,97,0,73,29,1121,Johnson Insurance
0,90,7,73,70,91,3580,The Personal
19,63,65,4,49,18,2994,Economical Insurance
33,62,37,83,88,53,1301,The Personal
5,16,19,84,8,42,1362,Economical Insurance
73,90,59,27,75,59,3069,Economical Insurance
54,84,54,61,93,61,2741,The Co-operators
26,18,76,51,61,97,1357,Allstate
74,86,40,83,18,88,3353,Allstate
96,66,96,30,7,34,3245,Allstate
91,39,53,89,25,69,2277,Economical Insurance
69,29,34,97,56,16,3346,Belairdirect
58,43,37,80,44,9,1888,The Co-operators
52,54,62,35,69,34,2195,Economical Insurance
96,16,28,61,13,82,1883,Allstate
75,34,83,100,18,70,2505,The Personal
2,58,64,11,29,69,3377,Economical Insurance
13,44,45,76,44,93,3044,Intact Insurance
28,27,13,15,100,8,1709,Economical Insurance
60,12,23,6,100,90,1334,Johnson Insurance
100,60,34,5,47,69,2142,The Co-operators
50,100,100,84,12,2,1861,Intact Insurance
13,84,20,13,92,97,3090,Belairdirect
9,94,56,41,77,42,3068,Intact Insurance
38,64,56,79,72,55,2406,Belairdirect
45,2,95,50,38,65,3062,Belairdirect
43,100,96,46,17,29,2467,The Personal
41,51,3,23,10,69,2349,Intact Insurance
1,3,17,0,92,99,1491,Belairdirect
16,52,2,25,28,32,2450,Belairdirect
78,8,97,1,17,67,1350,Intact Insurance
53,2,6,13,25,75,2874,Johnson Insurance
3,79,23,17,69,25,2710,Allstate
26,78,100,4,43,53,3360,The Co-operators
46,9,97,77,42,8,1828,Economical Insurance
19,54,57,27,98,25,1461,Johnson Insurance
91,21,12,68,48,41,1351,Allstate
62,32,93,58,69,33,2040,The Co-operators
34,33,37,12,17,72,1291,The Co-operators
3,66,34,57,7,77,1996,Economical Insurance
21,76,44,60,28,7,3459,Economical Insurance
83,69,57,76,78,40,1468,Belairdirect
30,91,55,0,86,46,1983,Economical Insurance
29,0,77,49,79,73,3009,Johnson Insurance
43,19,60,96,45,87,1292,The Personal
47,15,69,63,79,34,2020,Allstate
17,21,80,46,16,30,1253,The Personal
30,16,92,16,41,45,2005,Belairdirect
52,34,85,98,99,48,1960,Allstate
43,49,31,39,45,99,2331,Intact Insurance
0,52,97,53,63,51,1442,The Personal
54,43,27,27,56,29,2797,Belairdirect
41,70,15,28,60,28,2323,Allstate
18,45,98,99,52,42,1586,The Co-operators
74,28,50,64,96,92,2552,The Personal
41,97,100,40,38,35,1352,Economical Insurance
54,90,44,25,96,74,2637,Allstate
94,44,95,71,91,13,3056,The Co-operators
22,58,14,52,60,15,3416,Belairdirect
88,72,29,94,48,61,2196,Belairdirect
30,98,89,69,17,46,3286,Johnson Insurance
23,97,82,76,14,56,3139,Intact Insurance
12,30,21,100,82,78,1847,Belairdirect
19,26,59,23,96,90,1449,The Co-operators
63,96,57,43,86,72,3052,Economical Insurance
87,61,92,69,23,47,2661,Johnson Insurance
89,85,27,72,17,94,3511,The Personal
15,37,48,33,61,100,3098,Belairdirect
26,88,83,67,49,55,2182,Johnson Insurance
68,23,99,62,45,11,1939,The Co-operators
67,3,28,0,25,20,3397,Allstate
43,7,59,81,48,57,2952,Allstate
13,3,67,91,18,26,3046,Belairdirect
60,43,41,62,91,47,3449,The Co-operators
50,97,82,52,6,77,3217,Allstate
7,67,96,90,69,25,1887,Johnson Insurance
20,24,84,14,24,2,3143,Johnson Insurance
77,23,16,27,83,99,2070,Economical Insurance
26,68,44,11,36,70,3304,Allstate
11,89,1,86,15,90,2128,Belairdirect
63,85,92,30,70,56,1911,Johnson Insurance
18,26,31,92,23,55,1859,Allstate
15,95,47,20,32,64,1353,Economical Insurance
48,1,36,82,19,54,1725,Intact Insurance
35,43,91,54,85,25,2405,Allstate
72,13,23,27,34,2,3436,The Personal
11,49,74,38,20,54,2276,Johnson Insurance
68,18,42,32,34,88,2431,Allstate
59,42,66,17,2,53,2425,Allstate
67,28,43,77,13,1,3299,Intact Insurance
59,31,67,53,0,62,2249,Belairdirect
83,96,84,30,19,77,2788,Economical Insurance
90,82,24,88,73,4,1635,Economical Insurance
81,80,62,76,8,97,3395,Allstate
20,96,26,18,48,57,3485,Johnson Insurance
46,49,71,22,13,19,1506,Johnson Insurance
50,31,19,75,26,0,3417,Johnson Insurance
71,80,75,76,25,18,3537,Belairdirect
47,68,18,7,10,24,3057,Johnson Insurance
36,16,2,22,67,89,3307,Belairdirect
67,61,58,41,94,1,1270,Belairdirect
90,24,53,77,68,35,2973,Allstate
74,3,99,29,55,40,2775,Allstate
99,22,75,68,18,6,3363,Intact Insurance
23,35,77,78,25,57,2036,The Personal
25,26,90,33,74,27,2256,Johnson Insurance
65,16,59,73,95,71,2814,Belairdirect
75,90,1,91,34,19,2482,Economical Insurance
38,41,28,49,65,31,1231,Economical Insurance
96,23,86,40,37,40,1453,Allstate
91,69,22,53,87,87,2997,Intact Insurance
23,37,51,21,63,67,1903,Belairdirect
72,56,67,36,44,100,3004,Belairdirect
53,100,76,31,64,29,3577,Belairdirect
29,61,79,45,2,76,3229,Belairdirect
60,2,53,35,85,95,2789,Intact Insurance
40,67,71,13,91,75,3142,Allstate
4,67,0,38,44,74,1799,The Co-operators
62,67,26,94,86,47,1524,The Co-operators
73,89,79,64,42,54,1329,The Co-operators
1,68,10,9,47,50,1395,Intact Insurance
16,18,13,29,80,24,1809,Intact Insurance
94,68,61,86,37,100,2669,The Personal
67,82,44,91,83,61,2657,The Co-operators
45,47,63,48,15,62,2917,Economical Insurance
79,66,1,53,66,4,1864,The Personal
99,28,51,14,43,67,1443,Allstate
29,100,10,84,44,85,2440,The Co-operators
56,52,64,50,94,48,1290,Johnson Insurance
19,66,43,36,46,60,2414,The Personal
94,19,92,63,13,57,2787,Allstate
20,52,52,81,18,54,1271,Intact Insurance
73,52,83,70,49,88,2322,Belairdirect
35,91,91,73,22,28,2473,Belairdirect
78,32,59,17,17,64,2758,The Personal
23,66,20,99,50,10,1747,Economical Insurance
80,93,23,89,62,90,1194,Allstate
46,79,30,9,2,82,2348,Economical Insurance
15,11,54,94,10,13,1813,The Personal
80,18,17,99,39,30,1444,Johnson Insurance
16,81,77,88,93,75,1973,The Personal
37,72,81,1,26,94,2102,Intact Insurance
4,23,82,74,2,43,1212,Economical Insurance
79,38,9,51,22,27,2971,The Personal
53,49,8,96,54,62,2001,The Personal
61,33,63,73,54,61,2616,Intact Insurance
3,18,0,58,1,73,1941,The Co-operators
71,77,14,54,11,83,2660,Allstate
93,93,35,59,60,86,1522,Johnson Insurance
60,47,11,20,5,52,3115,The Personal
80,96,42,93,55,31,1427,Intact Insurance
11,28,6,26,47,98,2706,Allstate
35,29,93,46,82,49,3238,The Co-operators
88,6,34,14,88,30,1306,Belairdirect
62,74,88,55,2,92,1945,Allstate
17,58,71,80,16,9,3427,The Co-operators
84,23,42,41,8,16,2277,Johnson Insurance
22,95,30,66,85,79,3574,Economical Insurance
77,43,20,52,9,42,2079,The Personal
59,85,77,2,8,25,3446,Allstate
65,43,17,31,88,65,1316,The Personal
68,61,37,65,84,20,1524,Johnson Insurance
41,18,9,87,70,81,3028,Johnson Insurance
57,29,24,73,7,41,2412,The Personal
83,70,38,1,32,53,1412,Belairdirect
56,79,81,23,27,42,1719,The Personal
85,44,67,93,63,78,1586,The Personal
4,20,20,55,30,67,1747,Belairdirect
11,32,8,76,92,36,2892,Belairdirect
51,97,78,31,86,99,2124,Economical Insurance
4,38,72,93,41,97,2478,Allstate
30,34,1,61,36,98,2372,The Personal
50,40,16,84,19,4,2721,Intact Insurance
13,72,69,74,33,80,2630,Allstate
100,14,38,94,42,5,2027,The Personal
16,58,18,48,81,90,1558,Intact Insurance
75,12,37,72,69,19,2077,Intact Insurance
36,92,44,84,19,43,2443,Economical Insurance
97,26,80,76,88,29,1428,Allstate
43,17,82,38,92,90,1294,Allstate
54,23,4,0,6,78,2327,Belairdirect
75,34,8,38,92,19,2865,Johnson Insurance
25,35,2,5,60,39,1477,Johnson Insurance
50,90,91,83,66,48,2872,Belairdirect
93,27,56,7,8,47,1545,Economical Insurance
6,34,50,59,98,38,1971,The Personal
99,60,75,25,53,2,2698,Belairdirect
24,74,16,74,42,80,2521,The Co-operators
90,100,92,31,59,7,1512,The Co-operators
45,61,19,16,90,85,3193,Intact Insurance
13,89,47,31,9,71,3088,The Co-operators
80,4,5,59,10,6,3452,Economical Insurance
79,4,29,26,16,30,1903,Johnson Insurance
5,54,60,70,81,94,3042,The Co-operators
81,93,87,41,14,7,2691,The Co-operators
98,35,75,48,36,56,1391,Belairdirect
50,19,58,4,27,86,2973,The Co-operators
28,95,91,39,15,39,1562,Allstate
1,87,0,51,76,42,2348,Johnson Insurance
95,36,61,8,41,44,2502,Allstate
70,77,27,46,43,74,2807,Intact Insurance
29,59,50,42,91,91,3269,Belairdirect
9,64,67,4,63,72,2292,Intact Insurance
12,17,15,31,45,98,2161,The Co-operators
35,56,82,97,40,45,2873,Intact Insurance
69,75,2,0,97,94,1947,Economical Insurance
49,47,50,18,45,65,1248,The Personal
69,81,80,76,94,12,2435,The Personal
23,31,17,63,37,28,3314,Intact Insurance
7,39,22,78,68,40,3077,Johnson Insurance
85,93,27,99,87,99,2305,Belairdirect
42,13,38,58,46,84,1047,The Co-operators
8,53,50,50,13,7,1968,Allstate
5,78,53,12,13,95,1748,Belairdirect
23,55,24,13,0,92,2330,The Co-operators
41,16,61,41,78,28,1298,The Personal
28,13,59,7,37,49,2518,Johnson Insurance
42,22,84,51,23,3,2989,The Personal
13,2,32,48,88,53,3411,The Personal
1,95,57,54,76,97,2934,Johnson Insurance
59,9,5,10,11,98,2939,Belairdirect
95,91,1,13,68,52,3000,Johnson Insurance
97,70,78,85,8,47,2583,Allstate
16,75,57,6,7,10,1898,Economical Insurance
35,65,64,87,12,77,2838,Economical Insurance
9,15,30,57,38,2,3167,Johnson Insurance
51,23,37,47,59,17,2117,Intact Insurance
88,12,2,36,99,82,3319,Intact Insurance
74,85,45,57,99,8,1814,Johnson Insurance
93,33,17,41,12,95,1127,Intact Insurance
47,21,26,80,80,55,1141,Intact Insurance
82,57,83,36,4,16,3369,Allstate
1,41,35,77,14,0,2690,Johnson Insurance
47,60,95,35,25,13,1677,Economical Insurance
11,57,66,85,99,31,2434,The Co-operators
17,61,22,9,59,81,2781,Johnson Insurance
1,7,47,16,79,26,2872,The Personal
5,23,5,83,43,84,2275,Belairdirect
15,47,50,62,87,87,2538,Johnson Insurance
45,52,85,7,21,87,1626,The Personal
50,51,27,66,76,10,2889,Allstate
21,31,100,76,76,64,2264,Johnson Insurance
57,17,3,29,40,48,2637,Economical Insurance
66,57,52,37,16,54,2942,Intact Insurance
1,14,80,48,0,42,3056,Intact Insurance
28,91,33,32,64,11,2992,Intact Insurance
22,81,76,45,9,21,1394,The Co-operators
2,80,58,12,79,65,1891,Economical Insurance
20,62,43,5,26,36,3463,Economical Insurance
84,12,13,54,99,26,1029,Allstate
25,10,48,40,37,58,1129,Economical Insurance
89,89,64,67,45,52,2929,Belairdirect
90,46,50,20,81,28,3500,Belairdirect
35,49,55,30,49,79,2593,Intact Insurance
37,60,32,67,65,47,1776,Allstate
81,7,58,73,34,44,2968,Intact Insurance
16,33,31,90,49,2,2204,Intact Insurance
93,63,51,34,67,57,2021,The Co-operators
91,38,36,24,48,94,1886,The Co-operators
22,66,53,47,97,47,3557,The Co-operators
17,30,53,86,93,36,1950,The Co-operators
19,91,47,86,61,55,1598,Economical Insurance
58,58,63,2,67,74,3318,Allstate
52,70,39,46,77,99,3350,Intact Insurance
81,59,62,35,57,89,1597,The Co-operators
14,67,39,42,98,49,2389,The Co-operators
21,10,71,87,30,59,2907,The Personal
72,38,14,5,38,69,2418,Belairdirect
92,10,52,48,12,27,1626,Johnson Insurance
40,73,83,52,72,98,2190,Economical Insurance
32,9,95,31,77,7,1615,Belairdirect
82,89,35,77,31,14,1757,The Co-operators
56,84,81,44,71,39,2797,Allstate
38,72,31,46,78,45,1190,Economical Insurance
22,39,26,50,11,16,2192,The Personal
48,61,100,82,29,5,2337,Belairdirect
67,94,96,31,4,34,2673,Belairdirect
95,23,43,70,39,90,2910,The Co-operators
43,82,70,21,71,73,3384,Johnson Insurance
89,46,21,85,65,94,1423,Johnson Insurance
70,89,86,18,92,23,2454,Belairdirect
31,26,45,54,45,32,2512,Intact Insurance
61,13,46,21,74,47,2809,Belairdirect
41,82,52,95,95,1,3162,Economical Insurance
100,5,17,58,81,61,2977,Belairdirect
3,97,2,66,35,80,1524,The Co-operators
59,53,48,8,5,25,2434,The Co-operators
47,89,19,85,22,83,3143,Economical Insurance
12,40,89,67,49,6,1326,Allstate
37,22,65,6,39,77,1686,Economical Insurance
5,2,28,71,17,44,1299,Allstate
52,80,7,43,22,35,3006,Allstate
27,20,71,34,31,50,2328,Johnson Insurance
46,93,76,85,73,78,3532,Economical Insurance
10,19,29,59,9,19,2182,Allstate
99,11,37,61,92,23,2976,Belairdirect
74,78,17,80,8,5,1941,The Personal
2,49,91,69,22,18,2031,The Personal
83,52,41,17,57,82,2742,Belairdirect
87,22,92,50,8,88,3416,Johnson Insurance
83,98,57,96,79,40,1177,Economical Insurance
86,42,85,47,37,73,1359,Belairdirect
0,14,47,34,10,20,1519,Allstate
29,54,77,15,14,100,2322,The Co-operators
53,57,5,55,34,79,2097,Belairdirect
74,47,46,4,51,97,1306,Belairdirect
91,41,55,20,65,76,2649,Allstate
17,38,78,58,87,9,2874,Intact Insurance
64,22,53,27,51,16,1390,Johnson Insurance
0,3,52,37,29,78,1525,Belairdirect
32,47,33,84,18,86,1079,Intact Insurance
11,64,44,2,80,3,1690,The Co-operators
98,46,81,14,60,61,2714,Intact Insurance
11,95,35,68,6,72,2281,Economical Insurance
2,37,8,25,76,12,1747,The Personal
69,84,59,98,89,1,1775,Belairdirect
50,82,85,38,39,7,3185,Johnson Insurance
41,84,63,92,59,77,1949,The Personal
47,55,78,34,98,24,1483,Intact Insurance
43,84,77,90,82,18,1201,Economical Insurance
43,31,84,87,57,25,1772,Belairdirect
86,91,68,53,86,18,2566,Intact Insurance
80,42,45,1,48,41,2157,Economical Insurance
22,90,10,75,56,48,2618,The Co-operators
99,39,63,0,93,30,1335,Belairdirect
75,35,20,90,20,56,1444,Belairdirect
3,53,63,16,9,29,2805,Belairdirect
5,9,36,100,40,24,2127,The Personal
45,2,23,91,53,58,3042,Belairdirect
49,4,49,39,41,62,2152,Johnson Insurance
23,52,16,45,58,46,2674,Intact Insurance
73,91,36,8,31,60,2632,Allstate
61,46,41,25,91,50,1618,The Personal
0,44,33,76,75,45,3474,Johnson Insurance
4,80,79,22,16,24,2594,The Personal
18,59,43,83,61,61,3392,The Co-operators
2,56,46,58,68,67,1947,Belairdirect
17,59,36,25,48,6,1522,Intact Insurance
33,11,48,76,8,84,1722,Belairdirect
100,81,23,44,1,15,2900,Intact Insurance
16,57,22,21,88,55,2884,Intact Insurance
62,90,49,20,61,7,2022,Intact Insurance
85,65,7,16,42,76,2870,The Personal
84,33,30,16,17,52,2631,The Personal
81,17,49,66,81,49,1174,Belairdirect
37,28,90,9,59,32,1723,Allstate
94,68,68,12,28,33,2517,The Co-operators
12,50,68,99,73,91,2017,Johnson Insurance
33,41,69,19,43,12,2195,Intact Insurance
7,95,40,45,87,67,2560,Johnson Insurance
12,31,55,37,66,65,1159,The Co-operators
11,97,1,84,97,24,2851,Belairdirect
12,56,66,40,9,87,1155,Intact Insurance
56,77,32,51,79,14,2406,Economical Insurance
25,24,65,44,8,69,1301,The Co-operators
51,19,82,3,92,18,1175,The Co-operators
63,40,59,32,77,0,1949,Allstate
41,42,69,39,67,37,2464,Belairdirect
33,20,54,14,72,40,3213,Johnson Insurance
10,12,53,73,63,85,2984,Belairdirect
19,7,16,17,39,55,3472,Intact Insurance
55,77,67,3,64,37,1645,Intact Insurance
58,14,51,76,11,19,3247,The Personal
92,31,62,73,98,26,2719,Intact Insurance
57,64,27,28,15,69,2079,Intact Insurance
4,42,52,43,93,99,2808,Allstate
34,17,83,14,8,20,2247,The Co-operators
14,6,71,11,37,13,1437,Belairdirect
47,62,51,45,88,36,1405,The Personal
